id,geoJSON
21,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.624589423603934, 51.96572930753789], [7.624236269102031, 51.96365110220427], [7.623907785992893, 51.963587744092955], [7.624184526978739, 51.96556542638443], [7.624208112757694, 51.965593252468686], [7.624576486324566, 51.96575937850176], [7.624589423603934, 51.96572930753789]]]]}"
82,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.627472699900149, 51.962679078545214], [7.627255541319063, 51.9623149378896], [7.626810516210441, 51.96193161331654], [7.62638332477851, 51.96193125392723], [7.626209269322981, 51.96349210179162], [7.627368798566325, 51.9640354932109], [7.627470421833731, 51.96393147260129], [7.627486467492615, 51.96378728492982], [7.627472699900149, 51.962679078545214]]]]}"
7,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.627486467492615, 51.96378728492982], [7.628489188371105, 51.96301274901511], [7.628438537980291, 51.9628525173268], [7.627846722329802, 51.96264567628386], [7.627472699900149, 51.962679078545214], [7.627486467492615, 51.96378728492982]]]]}"
96,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.624510546227058, 51.9613917959264], [7.624365541203394, 51.961555232287594], [7.623748036756616, 51.96268104672734], [7.62428323120199, 51.96260819393914], [7.625000291346532, 51.96151229261658], [7.624748922212384, 51.96131199874129], [7.624510546227058, 51.9613917959264]]]]}"
102,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.623060844949179, 51.963021651732824], [7.623250989430185, 51.96336785649397], [7.623907785992893, 51.963587744092955], [7.624236269102031, 51.96365110220427], [7.624873108089881, 51.96354092683132], [7.625033859808501, 51.96340808902471], [7.624917075193072, 51.96296852095378], [7.62428323120199, 51.96260819393914], [7.623748036756616, 51.96268104672734], [7.623060844949179, 51.963021651732824]]]]}"
31,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.625000291346532, 51.96151229261658], [7.625327455245047, 51.96166504161748], [7.625945352371774, 51.96169616594898], [7.625937513320515, 51.96052453676484], [7.625364107479408, 51.95999893072373], [7.6248194867144, 51.96022564087575], [7.62468884763976, 51.960918072319885], [7.624748922212384, 51.96131199874129], [7.625000291346532, 51.96151229261658]]]]}"
22,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.625034360447216, 51.965026334975924], [7.624873108089881, 51.96354092683132], [7.624236269102031, 51.96365110220427], [7.624589423603934, 51.96572930753789], [7.625034360447216, 51.965026334975924]]]]}"
24,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.62468884763976, 51.960918072319885], [7.6248194867144, 51.96022564087575], [7.624737626393048, 51.96013433816149], [7.62406134338473, 51.959648478931314], [7.62314609558515, 51.95961193776847], [7.624129421414677, 51.960700458552004], [7.62468884763976, 51.960918072319885]]]]}"
117,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.625097553698651, 51.958154381931614], [7.624737626393048, 51.96013433816149], [7.6248194867144, 51.96022564087575], [7.625364107479408, 51.95999893072373], [7.62602099488827, 51.9590130278741], [7.625134776089202, 51.95808320921756], [7.625097553698651, 51.958154381931614]]]]}"
27,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.624940831432037, 51.95708889789897], [7.626921558271626, 51.95723058953227], [7.627479249021722, 51.95660357052739], [7.62407984794708, 51.95524345971005], [7.624093798394557, 51.95607888844315], [7.624739459905174, 51.957030259195335], [7.624940831432037, 51.95708889789897]]]]}"
84,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.624739459905174, 51.957030259195335], [7.625134776089202, 51.95808320921756], [7.62602099488827, 51.9590130278741], [7.626595098807302, 51.95915149932268], [7.627853892543913, 51.95929173810801], [7.628223864383003, 51.95914085425721], [7.628360453143572, 51.958996360040196], [7.626821177693059, 51.95774451350663], [7.624940831432037, 51.95708889789897], [7.624739459905174, 51.957030259195335]]]]}"
3,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.62428323120199, 51.96260819393914], [7.624917075193072, 51.96296852095378], [7.625327455245047, 51.96166504161748], [7.625000291346532, 51.96151229261658], [7.62428323120199, 51.96260819393914]]]]}"
4,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.624917075193072, 51.96296852095378], [7.625033859808501, 51.96340808902471], [7.625260486169924, 51.96342402226428], [7.626203353607221, 51.961856005275045], [7.626014641583975, 51.96172744991316], [7.625945352371774, 51.96169616594898], [7.625327455245047, 51.96166504161748], [7.624917075193072, 51.96296852095378]]]]}"
